taxa,FAD,LAD
Gooloogongia,382.7,358.9
Screbinodus,336.17,330.9
Marsdenichthys,387.7,372.2
Canowindra,382.7,358.9
Beelarongia,382.7,372.2
Koharalepis,387.7,379.2
Gogonasus,385.2,379.2
Gyroptychius,387.7,382.7
Palatinichthys,298.9,272.3
Cladarosymblema,346.7,341.43
Heddleichthys,372.2,358.9
Eusthenopteron,382.7,372.2
Bruehnopteron,385.2,382.7
Cabonnichthys,382.7,358.9
Edenopteron,363.33,358.9
Tinirau,385.2,382.7
Panderichthys,382.7,372.2
Tiktaalik,382.7,379.2
Elpistostege,379.2,375.7
Mandageria,372.2,358.9
Osteolepis,393.3,387.7
Ventastega,363.33,358.9
Acanthostega,367.77,363.33
Ichthyostega,367.77,363.33
Deltaherpeton,341.43,336.17
Greererpeton,327.05,319.2
Pederpes,350.77,346.7
Whatcheeria,341.43,336.17
Ossinodus,341.43,336.17
Crassigyrinus,336.17,327.05
Eucritta,336.17,330.9
Spathicephalus,330.9,327.05
Loxomma,336.17,315.2
Baphetes_orientalis,319.2,307
Baphetes_kirkbyi,319.2,307
Baphetes_lintonensis,319.2,307
Baphetes_bohemicus,311.1,307
Kyrinion,319.2,315.2
Megalocephalus,319.2,307
Colosteus,311.1,307
Acherontiscus,330.9,315.2
Adelospondylus,319.2,315.2
Anthracosaurus,319.2,307
Adamanterpeton,311.1,307
Gephyrostegus,311.1,307
Eoherpeton,336.17,330.9
Proterogyrinus,330.9,323.2
Pholiderpeton_scutigerum,330.9,315.2
Balanerpeton,336.17,330.9
Edops,295,292.55
Pholiderpeton_attheyi,319.2,315.2
Adelogyrinus,336.17,330.9
Cochleosaurus,311.1,307
Archeria,295,277.9
Chenoprosopus_milleri,303.7,295
Dendrerpeton,323.2,315.2
Nigerpeton,259.8,254.1
Silvanerpeton,336.16,330.9
Chenoprosopus_lewisi,303.7,295
